,createdDate,y_x,y_y
731,2024-06-25 11:00:00,832,319
732,2024-06-25 12:00:00,549,280
733,2024-06-25 13:00:00,540,280
734,2024-06-25 14:00:00,654,304
735,2024-06-25 15:00:00,510,272
736,2024-06-25 16:00:00,662,316
737,2024-06-25 17:00:00,805,309
738,2024-06-25 18:00:00,877,275
739,2024-06-25 19:00:00,882,267
740,2024-06-25 20:00:00,681,206
741,2024-06-25 21:00:00,418,189
742,2024-06-25 22:00:00,268,111
743,2024-06-25 23:00:00,151,73
744,2024-06-26 00:00:00,73,36
745,2024-06-26 01:00:00,26,9
746,2024-06-26 02:00:00,22,5
747,2024-06-26 03:00:00,29,6
748,2024-06-26 04:00:00,66,21
749,2024-06-26 05:00:00,92,22
750,2024-06-26 06:00:00,61,31
751,2024-06-26 07:00:00,159,62
752,2024-06-26 08:00:00,422,175
753,2024-06-26 09:00:00,863,295
754,2024-06-26 10:00:00,971,313
755,2024-06-26 11:00:00,809,343
756,2024-06-26 12:00:00,535,273
757,2024-06-26 13:00:00,581,283
758,2024-06-26 14:00:00,512,251
759,2024-06-26 15:00:00,530,243
760,2024-06-26 16:00:00,626,284
761,2024-06-26 17:00:00,697,294
762,2024-06-26 18:00:00,906,281
763,2024-06-26 19:00:00,890,246
764,2024-06-26 20:00:00,679,223
765,2024-06-26 21:00:00,405,186
766,2024-06-26 22:00:00,224,91
767,2024-06-26 23:00:00,136,62
